wav_idx	wav_path	wav_nsamp
245	eng-m1/h-0.wav	12619
256	eng-m1/t-0.wav	10577
115	eng-f2/t-1.wav	8676
148	hin-m/g-breathy.wav	8322
9	eng-m2/f-0.wav	12645
72	eng-f2/eth-0.wav	10758
77	eng-f2/ezh-2.wav	11667
25	eng-m2/l-1.wav	9791
165	hin-m/t-retroflex.wav	6862
81	eng-f2/h-0.wav	10628
88	eng-f2/k-1.wav	8698
174	hun-f/ezh.wav	12451
87	eng-f2/k-0.wav	8059
39	eng-m2/r-turned-0.wav	11589
278	eng-f1/s-0.wav	15231
218	swh-m/v-prenasalized.wav	10652
201	swh-m/g-prenasalized.wav	8417
204	swh-m/j-bar-prenasalized.wav	8550
205	swh-m/j-bar.wav	6566
197	swh-m/engma.wav	10142
217	swh-m/theta.wav	10624
220	swh-m/w.wav	8604
203	swh-m/h.wav	7554
193	swh-m/b-prenasalized.wav	9731
215	swh-m/t-aspirated.wav	5247
196	swh-m/d-prenasalized.wav	10962
207	swh-m/k-aspirated.wav	4290
214	swh-m/s.wav	10072
202	swh-m/gamma.wav	10520
212	swh-m/p-aspirated.wav	4404
211	swh-m/n.wav	9811
208	swh-m/l.wav	9006
222	swh-m/z.wav	10123
206	swh-m/j.wav	7906
200	swh-m/f.wav	8474
195	swh-m/d-implosive.wav	7987
219	swh-m/v.wav	7204
213	swh-m/r.wav	8041
221	swh-m/z-prenasalized.wav	9523
194	swh-m/b.wav	5372
209	swh-m/m.wav	6762
216	swh-m/tesh-aspirated.wav	5099
210	swh-m/n-palatal.wav	10545
199	swh-m/eth.wav	6449
198	swh-m/esh.wav	9349
234	nld-f/nu.wav	7063
233	nld-f/n.wav	4575
232	nld-f/m.wav	5005
224	nld-f/d.wav	6038
240	nld-f/z.wav	7194
230	nld-f/k-aspirated.wav	3833
239	nld-f/v.wav	7839
238	nld-f/uvular-trill.wav	5402
229	nld-f/j.wav	7379
226	nld-f/f.wav	6867
225	nld-f/esh.wav	6338
231	nld-f/l.wav	5308
237	nld-f/t-aspirated.wav	4078
236	nld-f/s.wav	6495
235	nld-f/p.wav	3459
223	nld-f/b.wav	6065
227	nld-f/fronted-x.wav	6356
228	nld-f/h.wav	6265
