talker	consonant	CV-transition-time
eng-f1	s-0	0.18734467120181408
eng-f1	s-1	0.18537792894935753
eng-f1	s-2	0.18985260770975057
eng-f1	t-0	0.01584656084656085
eng-f1	t-1	0.01889441246584104
eng-f1	t-2	0.021660907749343122
eng-f1	t-aspirated-0	0.08887440161249686
eng-f1	t-aspirated-1	0.10017460317460318
eng-f1	t-aspirated-2	0.10282564877802974
eng-f1	tesh-0	0.03892595989706744
eng-f1	tesh-1	0.04409145880574452
eng-f1	tesh-2	0.05290532879818594
eng-f1	tesh-aspirated-0	0.10792517006802722
eng-f1	tesh-aspirated-1	0.10599773242630386
eng-f1	tesh-aspirated-2	0.10370748299319729
eng-f1	theta-0	0.1712358276643991
eng-f1	theta-1	0.16697278911564628
eng-f1	theta-2	0.16100391671820244
eng-f1	v-0	0.10534985422740525
eng-f1	v-1	0.10233786848072562
eng-f1	v-2	0.0889243498817967
eng-f1	w-0	0.0824480077745384
eng-f1	w-1	0.06511904761904763
eng-f1	w-2	0.08659369730798304
eng-f1	z-0	0.13868773315777924
eng-f1	z-1	0.15847505668934242
eng-f1	z-2	0.11447388632872504
eng-f2	esh-0	0.20331221377439865
eng-f2	esh-1	0.22019196184220816
eng-f2	esh-2	0.18875056689342404
eng-f2	eth-0	0.10580984774862326
eng-f2	eth-1	0.1363151927437642
eng-f2	eth-2	0.1444090136054422
eng-f2	ezh-0	0.16151987110633728
eng-f2	ezh-1	0.16480725623582768
eng-f2	ezh-2	0.1428877857449286
eng-f2	f-0	0.16707860922146636
eng-f2	f-1	0.18161526832955405
eng-f2	f-2	0.2063924963924964
eng-f2	h-0	0.1370880574452003
eng-f2	h-1	0.13093437374949982
eng-f2	h-2	0.12874149659863945
eng-f2	j-0	0.16918178382464097
eng-f2	j-1	0.17334467120181407
eng-f2	j-2	0.14653080441216035
eng-f2	k-0	0.039280675233056186
eng-f2	k-1	0.028619396476539334
eng-f2	k-2	0.0298015873015873
eng-f2	k-aspirated-0	0.09318082071538293
eng-f2	k-aspirated-1	0.10058376196006859
eng-f2	k-aspirated-2	0.10831292517006803
eng-f2	l-0	0.13097883597883597
eng-f2	l-1	0.13464794464794466
eng-f2	l-2	0.11236961451247167
eng-f2	m-0	0.1360110710951047
eng-f2	m-1	0.14573696145124718
eng-f2	m-2	0.08164160401002507
eng-f2	n-0	0.0878624783246632
eng-f2	n-1	0.11238775510204083
eng-f2	n-2	0.05459183673469388
eng-f2	p-0	0.011984126984126984
eng-f2	p-1	0.11347814231177704
eng-f2	p-2	0.010136054421768707
eng-f2	p-aspirated-0	0.09868310657596373
eng-f2	p-aspirated-1	0.09251020408163266
eng-f2	p-aspirated-2	0.10739480977576217
eng-f2	r-turned-0	0.12421490608822146
eng-f2	r-turned-1	0.10945507369614514
eng-f2	r-turned-2	0.07787981859410431
eng-f2	s-0	0.2579158672015815
eng-f2	s-1	0.2198828420256992
eng-f2	s-2	0.20814883529169245
eng-f2	t-0	0.014322751322751322
eng-f2	t-1	0.015411791383219953
eng-f2	t-2	0.014695137314184934
eng-f2	t-aspirated-0	0.11287729906777527
eng-f2	t-aspirated-1	0.10386221155128719
eng-f2	t-aspirated-2	0.1311602418745276
eng-f2	tesh-0	0.0655810657596372
eng-f2	tesh-1	0.21674676322141762
eng-f2	tesh-2	0.06010204081632653
eng-f2	tesh-aspirated-0	0.1346574770258981
eng-f2	tesh-aspirated-1	0.1273809523809524
eng-f2	tesh-aspirated-2	0.14168934240362813
